Rez Class;Seg Arr Port;Seg Dep Port;Demande;ds
B;BKO;KYS;1;2020-9
D;KYS;BKO;1;2020-9
M;BKO;GAQ;0;2020-9
M;BKO;KYS;8;2020-9
M;GAQ;BKO;0;2020-9
M;KYS;BKO;12;2020-9
N;BKO;KYS;8;2020-9
N;KYS;BKO;9;2020-9
D;KYS;BKO;0;2020-10
M;BKO;KYS;0;2020-10
M;KYS;BKO;0;2020-10
N;BKO;KYS;0;2020-10
N;KYS;BKO;0;2020-10
M;BKO;KYS;11;2020-10
M;KYS;BKO;8;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
M;BKO;KYS;0;2020-10
M;KYS;BKO;0;2020-10
M;BKO;KYS;33;2020-10
M;KYS;BKO;47;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
B;BKO;KYS;1;2020-10
D;BKO;KYS;1;2020-10
M;BKO;KYS;19;2020-10
M;KYS;BKO;24;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
M;BKO;KYS;0;2020-10
B;KYS;BKO;3;2020-10
D;KYS;BKO;1;2020-10
G;BKO;KYS;23;2020-10
G;KYS;BKO;26;2020-10
M;BKO;KYS;13;2020-10
M;KYS;BKO;33;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
B;BKO;KYS;4;2020-10
D;BKO;KYS;1;2020-10
G;BKO;KYS;6;2020-10
G;KYS;BKO;18;2020-10
M;BKO;KYS;23;2020-10
M;KYS;BKO;21;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
G;BKO;KYS;29;2020-10
G;KYS;BKO;37;2020-10
M;BKO;KYS;5;2020-10
M;KYS;BKO;15;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
D;BKO;KYS;1;2020-10
D;KYS;BKO;1;2020-10
G;BKO;KYS;35;2020-10
G;KYS;BKO;23;2020-10
M;BKO;KYS;17;2020-10
M;KYS;BKO;18;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
B;BKO;KYS;0;2020-10
B;KYS;BKO;0;2020-10
G;BKO;KYS;19;2020-10
G;KYS;BKO;23;2020-10
M;BKO;KYS;20;2020-10
M;KYS;BKO;30;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
B;KYS;BKO;1;2020-10
D;BKO;KYS;1;2020-10
D;KYS;BKO;1;2020-10
G;BKO;KYS;28;2020-10
G;KYS;BKO;22;2020-10
M;BKO;KYS;21;2020-10
M;KYS;BKO;21;2020-10
N;BKO;KYS;2;2020-10
N;KYS;BKO;2;2020-10
D;BKO;KYS;1;2020-10
D;KYS;BKO;2;2020-10
G;BKO;KYS;35;2020-10
G;KYS;BKO;30;2020-10
M;BKO;KYS;19;2020-10
M;KYS;BKO;30;2020-10
N;BKO;KYS;3;2020-10
N;KYS;BKO;2;2020-10
C;KYS;BKO;3;2020-11
D;BKO;KYS;2;2020-11
D;KYS;BKO;4;2020-11
G;BKO;KYS;12;2020-11
G;KYS;BKO;49;2020-11
M;BKO;KYS;20;2020-11
M;KYS;BKO;49;2020-11
N;BKO;KYS;2;2020-11
N;KYS;BKO;2;2020-11
C;BKO;KYS;1;2020-11
D;BKO;KYS;5;2020-11
D;KYS;BKO;1;2020-11
G;BKO;KYS;35;2020-11
G;KYS;BKO;39;2020-11
M;BKO;KYS;27;2020-11
M;KYS;BKO;39;2020-11
N;BKO;KYS;2;2020-11
N;KYS;BKO;2;2020-11
B;KYS;BKO;3;2020-11
C;KYS;BKO;1;2020-11
D;BKO;KYS;3;2020-11
D;KYS;BKO;2;2020-11
G;BKO;KYS;36;2020-11
G;KYS;BKO;39;2020-11
M;BKO;KYS;18;2020-11
M;KYS;BKO;54;2020-11
N;KYS;BKO;3;2020-11
C;BKO;KYS;8;2020-11
C;KYS;BKO;3;2020-11
D;BKO;KYS;2;2020-11
G;BKO;KYS;25;2020-11
G;KYS;BKO;39;2020-11
M;BKO;KYS;45;2020-11
M;KYS;BKO;34;2020-11
C;KYS;BKO;4;2020-11
D;BKO;KYS;1;2020-11
D;KYS;BKO;4;2020-11
G;BKO;KYS;24;2020-11
G;KYS;BKO;52;2020-11
M;BKO;KYS;23;2020-11
M;KYS;BKO;45;2020-11
N;BKO;KYS;0;2020-11
N;KYS;BKO;1;2020-11
C;BKO;KYS;1;2020-11
C;KYS;BKO;3;2020-11
D;BKO;KYS;3;2020-11
D;KYS;BKO;2;2020-11
G;BKO;KYS;15;2020-11
G;KYS;BKO;34;2020-11
M;BKO;KYS;26;2020-11
M;KYS;BKO;41;2020-11
N;BKO;KYS;3;2020-11
C;BKO;KYS;3;2020-11
C;KYS;BKO;4;2020-11
D;BKO;KYS;2;2020-11
D;KYS;BKO;4;2020-11
G;BKO;KYS;33;2020-11
G;KYS;BKO;45;2020-11
M;BKO;KYS;26;2020-11
M;KYS;BKO;47;2020-11
N;BKO;GAQ;18;2020-11
N;GAQ;BKO;18;2020-11
D;BKO;KYS;2;2020-11
G;BKO;KYS;30;2020-11
G;KYS;BKO;36;2020-11
M;BKO;KYS;39;2020-11
M;KYS;BKO;41;2020-11
B;BKO;KYS;1;2020-12
B;KYS;BKO;9;2020-12
C;BKO;KYS;5;2020-12
D;BKO;KYS;4;2020-12
D;KYS;BKO;4;2020-12
G;BKO;KYS;48;2020-12
G;KYS;BKO;61;2020-12
M;BKO;KYS;28;2020-12
M;KYS;BKO;44;2020-12
N;BKO;KYS;1;2020-12
B;BKO;KYS;22;2020-12
B;KYS;BKO;32;2020-12
C;BKO;KYS;1;2020-12
C;KYS;BKO;2;2020-12
D;KYS;BKO;2;2020-12
G;BKO;KYS;36;2020-12
G;KYS;BKO;28;2020-12
M;BKO;KYS;32;2020-12
M;KYS;BKO;32;2020-12
N;KYS;BKO;1;2020-12
Y;KYS;BKO;5;2020-12
B;BKO;KYS;30;2020-12
B;KYS;BKO;43;2020-12
D;KYS;BKO;3;2020-12
G;BKO;KYS;3;2020-12
G;KYS;BKO;12;2020-12
M;BKO;KYS;35;2020-12
M;KYS;BKO;39;2020-12
N;BKO;KYS;1;2020-12
N;KYS;BKO;3;2020-12
Y;KYS;BKO;6;2020-12
B;BKO;KYS;43;2020-12
B;KYS;BKO;33;2020-12
C;BKO;KYS;1;2020-12
D;BKO;KYS;4;2020-12
D;KYS;BKO;1;2020-12
G;BKO;KYS;2;2020-12
G;KYS;BKO;6;2020-12
M;BKO;KYS;26;2020-12
M;KYS;BKO;21;2020-12
N;BKO;KYS;1;2020-12
N;KYS;BKO;1;2020-12
Y;BKO;KYS;1;2020-12
Y;KYS;BKO;20;2020-12
B;BKO;KYS;30;2020-12
B;KYS;BKO;34;2020-12
C;KYS;BKO;5;2020-12
D;KYS;BKO;6;2020-12
G;KYS;BKO;11;2020-12
M;BKO;KYS;23;2020-12
M;KYS;BKO;30;2020-12
N;BKO;KYS;1;2020-12
N;KYS;BKO;1;2020-12
O;KYS;BKO;1;2020-12
Y;KYS;BKO;21;2020-12
B;BKO;KYS;32;2020-12
B;KYS;BKO;32;2020-12
C;KYS;BKO;9;2020-12
D;BKO;KYS;1;2020-12
D;KYS;BKO;0;2020-12
G;BKO;KYS;4;2020-12
G;KYS;BKO;1;2020-12
M;BKO;KYS;30;2020-12
M;KYS;BKO;22;2020-12
O;BKO;KYS;1;2020-12
Y;BKO;KYS;18;2020-12
Y;KYS;BKO;38;2020-12
B;BKO;KYS;41;2020-12
B;KYS;BKO;45;2020-12
C;BKO;KYS;3;2020-12
C;KYS;BKO;8;2020-12
D;BKO;KYS;2;2020-12
D;KYS;BKO;3;2020-12
G;BKO;KYS;5;2020-12
M;BKO;KYS;26;2020-12
M;KYS;BKO;32;2020-12
N;BKO;KYS;1;2020-12
N;KYS;BKO;1;2020-12
Y;KYS;BKO;24;2020-12
B;BKO;GAQ;47;2020-12
B;GAQ;BKO;47;2020-12
C;BKO;GAQ;0;2020-12
D;BKO;GAQ;6;2020-12
D;GAQ;BKO;1;2020-12
M;BKO;GAQ;23;2020-12
M;GAQ;BKO;14;2020-12
N;BKO;GAQ;5;2020-12
N;GAQ;BKO;6;2020-12
O;BKO;GAQ;4;2020-12
O;GAQ;BKO;4;2020-12
Y;BKO;GAQ;28;2020-12
Y;GAQ;BKO;25;2020-12
B;BKO;KYS;38;2020-12
B;KYS;BKO;33;2020-12
C;BKO;KYS;2;2020-12
D;BKO;KYS;4;2020-12
D;KYS;BKO;3;2020-12
G;BKO;KYS;6;2020-12
M;BKO;KYS;23;2020-12
M;KYS;BKO;25;2020-12
Y;BKO;KYS;32;2020-12
Y;KYS;BKO;28;2020-12
B;BKO;GAQ;41;2020-12
B;GAQ;BKO;41;2020-12
D;BKO;GAQ;1;2020-12
D;GAQ;BKO;3;2020-12
M;BKO;GAQ;24;2020-12
M;GAQ;BKO;10;2020-12
N;BKO;GAQ;8;2020-12
N;GAQ;BKO;11;2020-12
Y;BKO;GAQ;9;2020-12
Y;GAQ;BKO;30;2020-12
M;KYS;BKO;0;2020-12
B;BKO;KYS;22;2020-12
B;KYS;BKO;24;2020-12
C;BKO;KYS;1;2020-12
C;KYS;BKO;5;2020-12
D;BKO;KYS;2;2020-12
D;KYS;BKO;1;2020-12
M;BKO;KYS;34;2020-12
M;KYS;BKO;35;2020-12
N;BKO;KYS;1;2020-12
N;KYS;BKO;2;2020-12
Y;BKO;KYS;9;2020-12
Y;KYS;BKO;29;2020-12
B;BKO;GAQ;44;2020-12
B;GAQ;BKO;44;2020-12
D;BKO;GAQ;5;2020-12
D;GAQ;BKO;1;2020-12
M;BKO;GAQ;23;2020-12
M;GAQ;BKO;14;2020-12
N;BKO;GAQ;8;2020-12
N;GAQ;BKO;6;2020-12
O;BKO;GAQ;1;2020-12
Y;BKO;GAQ;16;2020-12
Y;GAQ;BKO;19;2020-12
B;BKO;KYS;9;2021-1
B;KYS;BKO;9;2021-1
M;BKO;KYS;8;2021-1
M;KYS;BKO;8;2021-1
Y;BKO;KYS;28;2021-1
Y;KYS;BKO;28;2021-1
B;BKO;KYS;1;2021-1
B;KYS;BKO;4;2021-1
M;BKO;KYS;8;2021-1
M;KYS;BKO;7;2021-1
Y;BKO;KYS;1;2021-1
Y;KYS;BKO;2;2021-1
B;BKO;GAQ;46;2021-1
B;GAQ;BKO;43;2021-1
C;GAQ;BKO;2;2021-1
D;BKO;GAQ;2;2021-1
D;GAQ;BKO;4;2021-1
M;BKO;GAQ;21;2021-1
M;BKO;KYS;0;2021-1
M;GAQ;BKO;14;2021-1
M;KYS;BKO;2;2021-1
N;BKO;GAQ;5;2021-1
N;GAQ;BKO;5;2021-1
Y;BKO;GAQ;7;2021-1
Y;GAQ;BKO;29;2021-1
B;BKO;KYS;7;2021-1
B;KYS;BKO;5;2021-1
M;BKO;KYS;6;2021-1
M;KYS;BKO;8;2021-1
Y;KYS;BKO;6;2021-1
B;BKO;KYS;7;2021-1
B;KYS;BKO;9;2021-1
M;BKO;KYS;10;2021-1
M;KYS;BKO;5;2021-1
N;BKO;KYS;2;2021-1
Y;BKO;KYS;25;2021-1
Y;KYS;BKO;30;2021-1
B;BKO;GAQ;37;2021-1
B;GAQ;BKO;47;2021-1
C;BKO;GAQ;3;2021-1
C;GAQ;BKO;1;2021-1
D;BKO;GAQ;4;2021-1
D;GAQ;BKO;5;2021-1
M;BKO;GAQ;30;2021-1
M;GAQ;BKO;14;2021-1
N;BKO;GAQ;6;2021-1
N;GAQ;BKO;6;2021-1
Y;BKO;GAQ;14;2021-1
Y;GAQ;BKO;34;2021-1
B;BKO;KYS;6;2021-1
B;KYS;BKO;7;2021-1
M;BKO;KYS;9;2021-1
M;KYS;BKO;9;2021-1
Y;BKO;KYS;29;2021-1
Y;KYS;BKO;25;2021-1
B;BKO;KYS;1;2021-1
B;KYS;BKO;7;2021-1
M;BKO;KYS;8;2021-1
M;KYS;BKO;6;2021-1
Y;KYS;BKO;13;2021-1
B;BKO;GAQ;42;2021-1
B;GAQ;BKO;43;2021-1
B;KYS;BKO;7;2021-1
C;GAQ;BKO;9;2021-1
D;BKO;GAQ;3;2021-1
D;GAQ;BKO;3;2021-1
M;BKO;GAQ;25;2021-1
M;BKO;KYS;7;2021-1
M;GAQ;BKO;5;2021-1
M;KYS;BKO;7;2021-1
N;BKO;GAQ;7;2021-1
N;GAQ;BKO;7;2021-1
Y;BKO;GAQ;12;2021-1
Y;BKO;KYS;1;2021-1
Y;GAQ;BKO;46;2021-1
Y;KYS;BKO;5;2021-1
B;BKO;KYS;1;2021-1
B;KYS;BKO;1;2021-1
M;BKO;KYS;4;2021-1
M;KYS;BKO;8;2021-1
Y;BKO;KYS;1;2021-1
B;BKO;KYS;4;2021-1
B;KYS;BKO;11;2021-1
M;BKO;KYS;7;2021-1
M;KYS;BKO;5;2021-1
N;BKO;KYS;3;2021-1
N;KYS;BKO;2;2021-1
Y;BKO;KYS;31;2021-1
Y;KYS;BKO;28;2021-1
B;BKO;GAQ;43;2021-1
B;GAQ;BKO;51;2021-1
C;GAQ;BKO;6;2021-1
D;GAQ;BKO;5;2021-1
M;BKO;GAQ;19;2021-1
M;GAQ;BKO;19;2021-1
N;BKO;GAQ;2;2021-1
N;GAQ;BKO;1;2021-1
O;BKO;GAQ;4;2021-1
O;GAQ;BKO;2;2021-1
Y;BKO;GAQ;25;2021-1
Y;GAQ;BKO;26;2021-1
B;BKO;KYS;9;2021-1
B;KYS;BKO;6;2021-1
M;BKO;KYS;8;2021-1
M;KYS;BKO;6;2021-1
N;BKO;KYS;2;2021-1
N;KYS;BKO;2;2021-1
Y;BKO;KYS;15;2021-1
Y;KYS;BKO;26;2021-1
M;BKO;KYS;0;2021-1
M;KYS;BKO;0;2021-1
B;BKO;GAQ;38;2021-1
B;BKO;KYS;9;2021-1
B;GAQ;BKO;47;2021-1
B;KYS;BKO;9;2021-1
D;BKO;GAQ;2;2021-1
M;BKO;GAQ;16;2021-1
M;BKO;KYS;8;2021-1
M;GAQ;BKO;9;2021-1
M;KYS;BKO;9;2021-1
Y;BKO;GAQ;23;2021-1
Y;BKO;KYS;1;2021-1
Y;GAQ;BKO;42;2021-1
Y;KYS;BKO;27;2021-1
B;BKO;KYS;6;2021-1
B;KYS;BKO;10;2021-1
M;BKO;KYS;9;2021-1
M;KYS;BKO;7;2021-1
Y;BKO;KYS;2;2021-1
Y;KYS;BKO;8;2021-1
B;BKO;KYS;7;2021-1
B;KYS;BKO;7;2021-1
M;BKO;KYS;9;2021-1
M;KYS;BKO;8;2021-1
Y;BKO;KYS;25;2021-1
Y;KYS;BKO;29;2021-1
B;BKO;GAQ;41;2021-1
B;GAQ;BKO;47;2021-1
C;BKO;GAQ;2;2021-1
C;GAQ;BKO;0;2021-1
D;BKO;GAQ;6;2021-1
D;GAQ;BKO;1;2021-1
M;BKO;GAQ;21;2021-1
M;GAQ;BKO;14;2021-1
N;BKO;GAQ;3;2021-1
N;GAQ;BKO;2;2021-1
Y;BKO;GAQ;19;2021-1
Y;GAQ;BKO;5;2021-1
B;BKO;KYS;18;2021-1
B;KYS;BKO;9;2021-1
C;BKO;KYS;3;2021-1
C;KYS;BKO;10;2021-1
D;BKO;KYS;0;2021-1
G;KYS;BKO;59;2021-1
M;BKO;KYS;10;2021-1
M;KYS;BKO;9;2021-1
Y;BKO;KYS;27;2021-1
Y;KYS;BKO;28;2021-1
B;BKO;GAQ;45;2021-1
B;BKO;KYS;7;2021-1
B;GAQ;BKO;42;2021-1
B;KYS;BKO;5;2021-1
C;BKO;GAQ;6;2021-1
C;GAQ;BKO;1;2021-1
D;BKO;GAQ;3;2021-1
D;GAQ;BKO;0;2021-1
G;BKO;KYS;7;2021-1
M;BKO;GAQ;13;2021-1
M;BKO;KYS;8;2021-1
M;GAQ;BKO;5;2021-1
M;KYS;BKO;6;2021-1
N;BKO;GAQ;1;2021-1
N;GAQ;BKO;2;2021-1
Y;BKO;GAQ;38;2021-1
Y;BKO;KYS;1;2021-1
Y;GAQ;BKO;38;2021-1
Y;KYS;BKO;18;2021-1
B;BKO;KYS;3;2021-1
B;KYS;BKO;10;2021-1
G;BKO;KYS;35;2021-1
M;BKO;KYS;6;2021-1
M;KYS;BKO;6;2021-1
Y;BKO;KYS;1;2021-1
Y;KYS;BKO;9;2021-1
B;BKO;KYS;17;2021-1
B;KYS;BKO;19;2021-1
M;BKO;KYS;12;2021-1
M;KYS;BKO;12;2021-1
N;BKO;TOM;31;2021-1
N;TOM;BKO;34;2021-1
Y;BKO;KYS;28;2021-1
Y;KYS;BKO;25;2021-1
B;BKO;GAQ;28;2021-1
B;GAQ;BKO;43;2021-1
C;BKO;GAQ;3;2021-1
D;BKO;GAQ;5;2021-1
D;GAQ;BKO;1;2021-1
M;BKO;GAQ;27;2021-1
M;GAQ;BKO;16;2021-1
Y;GAQ;BKO;28;2021-1
B;BKO;KYS;5;2021-1
B;KYS;BKO;10;2021-1
M;BKO;KYS;9;2021-1
M;KYS;BKO;6;2021-1
Y;BKO;KYS;31;2021-1
Y;KYS;BKO;28;2021-1
B;BKO;GAQ;27;2021-1
B;GAQ;BKO;21;2021-1
C;BKO;GAQ;8;2021-1
D;BKO;GAQ;4;2021-1
D;GAQ;BKO;1;2021-1
M;BKO;GAQ;45;2021-1
M;GAQ;BKO;46;2021-1
M;KYS;BKO;0;2021-1
Y;BKO;GAQ;23;2021-1
Y;GAQ;BKO;3;2021-1
B;BKO;KYS;7;2021-1
B;KYS;BKO;9;2021-1
M;BKO;GAQ;0;2021-1
M;BKO;KYS;7;2021-1
M;KYS;BKO;6;2021-1
Y;BKO;KYS;16;2021-1
Y;KYS;BKO;25;2021-1
B;BKO;KYS;8;2021-2
B;KYS;BKO;8;2021-2
B;TOM;BKO;11;2021-2
D;TOM;BKO;2;2021-2
M;BKO;KYS;5;2021-2
M;BKO;TOM;22;2021-2
M;KYS;BKO;8;2021-2
M;TOM;BKO;26;2021-2
N;BKO;TOM;26;2021-2
N;TOM;BKO;21;2021-2
O;BKO;TOM;9;2021-2
O;TOM;BKO;9;2021-2
Y;BKO;KYS;15;2021-2
Y;BKO;TOM;1;2021-2
Y;KYS;BKO;19;2021-2
Y;TOM;BKO;13;2021-2
B;BKO;GAQ;9;2021-2
B;GAQ;BKO;11;2021-2
C;BKO;GAQ;2;2021-2
D;BKO;GAQ;3;2021-2
M;BKO;GAQ;9;2021-2
M;GAQ;BKO;7;2021-2
Y;BKO;GAQ;19;2021-2
Y;GAQ;BKO;10;2021-2
B;BKO;KYS;4;2021-2
B;KYS;BKO;7;2021-2
M;BKO;KYS;7;2021-2
M;KYS;BKO;6;2021-2
Y;BKO;KYS;18;2021-2
Y;KYS;BKO;32;2021-2
B;BKO;GAQ;37;2021-2
B;GAQ;BKO;50;2021-2
D;BKO;GAQ;4;2021-2
D;GAQ;BKO;1;2021-2
M;BKO;GAQ;25;2021-2
M;GAQ;BKO;17;2021-2
Y;BKO;GAQ;16;2021-2
Y;GAQ;BKO;21;2021-2
B;BKO;KYS;10;2021-2
B;BKO;TOM;5;2021-2
B;KYS;BKO;9;2021-2
B;TOM;BKO;15;2021-2
C;BKO;TOM;3;2021-2
C;TOM;BKO;6;2021-2
D;BKO;TOM;2;2021-2
D;TOM;BKO;2;2021-2
M;BKO;KYS;4;2021-2
M;BKO;TOM;16;2021-2
M;KYS;BKO;7;2021-2
M;TOM;BKO;11;2021-2
N;KYS;BKO;1;2021-2
Y;BKO;KYS;31;2021-2
Y;BKO;TOM;24;2021-2
Y;KYS;BKO;28;2021-2
Y;TOM;BKO;12;2021-2
B;BKO;GAQ;14;2021-2
B;GAQ;BKO;19;2021-2
C;GAQ;BKO;3;2021-2
D;BKO;GAQ;3;2021-2
D;GAQ;BKO;2;2021-2
M;BKO;GAQ;18;2021-2
M;BKO;KYS;0;2021-2
M;GAQ;BKO;12;2021-2
N;BKO;GAQ;1;2021-2
N;GAQ;BKO;1;2021-2
Y;BKO;GAQ;63;2021-2
Y;GAQ;BKO;47;2021-2
B;BKO;KYS;2;2021-2
B;KYS;BKO;7;2021-2
M;BKO;GAQ;0;2021-2
M;BKO;KYS;4;2021-2
M;KYS;BKO;7;2021-2
Y;BKO;KYS;16;2021-2
Y;KYS;BKO;34;2021-2
B;BKO;KYS;6;2021-2
B;KYS;BKO;8;2021-2
M;BKO;KYS;8;2021-2
M;BKO;TOM;0;2021-2
M;KYS;BKO;8;2021-2
M;TOM;BKO;0;2021-2
Y;BKO;KYS;13;2021-2
Y;BKO;TOM;0;2021-2
Y;KYS;BKO;15;2021-2
B;BKO;GAQ;5;2021-2
B;BKO;TOM;10;2021-2
B;GAQ;BKO;5;2021-2
B;TOM;BKO;14;2021-2
C;BKO;GAQ;5;2021-2
C;GAQ;BKO;4;2021-2
D;BKO;GAQ;3;2021-2
D;BKO;TOM;1;2021-2
D;GAQ;BKO;2;2021-2
D;TOM;BKO;1;2021-2
M;BKO;GAQ;10;2021-2
M;BKO;TOM;37;2021-2
M;GAQ;BKO;10;2021-2
M;TOM;BKO;7;2021-2
N;BKO;TOM;2;2021-2
N;TOM;BKO;1;2021-2
Y;BKO;GAQ;21;2021-2
Y;BKO;TOM;4;2021-2
Y;GAQ;BKO;19;2021-2
Y;TOM;BKO;20;2021-2
B;BKO;KYS;9;2021-2
B;KYS;BKO;7;2021-2
C;BKO;KYS;0;2021-2
D;KYS;BKO;1;2021-2
M;BKO;KYS;4;2021-2
M;KYS;BKO;13;2021-2
Y;BKO;KYS;27;2021-2
Y;KYS;BKO;32;2021-2
B;BKO;GAQ;36;2021-2
B;GAQ;BKO;34;2021-2
C;BKO;GAQ;5;2021-2
C;GAQ;BKO;4;2021-2
D;BKO;GAQ;6;2021-2
D;GAQ;BKO;2;2021-2
M;BKO;GAQ;28;2021-2
M;GAQ;BKO;15;2021-2
N;BKO;GAQ;2;2021-2
N;GAQ;BKO;2;2021-2
B;BKO;KYS;4;2021-2
B;BKO;TOM;5;2021-2
B;KYS;BKO;6;2021-2
B;TOM;BKO;9;2021-2
C;BKO;TOM;2;2021-2
C;TOM;BKO;4;2021-2
D;BKO;TOM;2;2021-2
D;TOM;BKO;1;2021-2
M;BKO;KYS;9;2021-2
M;BKO;TOM;9;2021-2
M;KYS;BKO;7;2021-2
M;TOM;BKO;15;2021-2
N;BKO;KYS;1;2021-2
N;BKO;TOM;1;2021-2
O;BKO;TOM;1;2021-2
Y;BKO;KYS;29;2021-2
Y;BKO;TOM;19;2021-2
Y;KYS;BKO;30;2021-2
Y;TOM;BKO;22;2021-2
B;BKO;GAQ;56;2021-2
B;GAQ;BKO;56;2021-2
C;BKO;GAQ;3;2021-2
C;GAQ;BKO;1;2021-2
D;BKO;GAQ;3;2021-2
D;GAQ;BKO;3;2021-2
M;BKO;GAQ;12;2021-2
M;GAQ;BKO;9;2021-2
N;BKO;GAQ;2;2021-2
N;GAQ;BKO;3;2021-2
O;BKO;GAQ;4;2021-2
O;GAQ;BKO;4;2021-2
Y;BKO;GAQ;7;2021-2
Y;GAQ;BKO;1;2021-2
B;BKO;KYS;7;2021-2
B;KYS;BKO;3;2021-2
M;BKO;KYS;6;2021-2
M;KYS;BKO;6;2021-2
Y;BKO;KYS;22;2021-2
Y;KYS;BKO;42;2021-2
B;BKO;KYS;6;2021-2
B;BKO;TOM;9;2021-2
B;KYS;BKO;7;2021-2
B;TOM;BKO;9;2021-2
C;BKO;TOM;5;2021-2
D;BKO;TOM;1;2021-2
D;TOM;BKO;3;2021-2
M;BKO;KYS;7;2021-2
M;BKO;TOM;8;2021-2
M;KYS;BKO;6;2021-2
M;TOM;BKO;7;2021-2
Y;BKO;KYS;28;2021-2
Y;BKO;TOM;16;2021-2
Y;KYS;BKO;36;2021-2
Y;TOM;BKO;16;2021-2
B;BKO;GAQ;10;2021-2
B;GAQ;BKO;10;2021-2
C;BKO;GAQ;4;2021-2
C;GAQ;BKO;3;2021-2
D;BKO;GAQ;3;2021-2
D;GAQ;BKO;1;2021-2
M;BKO;GAQ;6;2021-2
M;GAQ;BKO;9;2021-2
N;BKO;GAQ;0;2021-2
N;GAQ;BKO;1;2021-2
Y;BKO;GAQ;17;2021-2
Y;GAQ;BKO;14;2021-2
B;BKO;KYS;0;2021-2
B;KYS;BKO;0;2021-2
M;BKO;KYS;0;2021-2
M;KYS;BKO;0;2021-2
Y;BKO;KYS;0;2021-2
Y;KYS;BKO;0;2021-2
B;BKO;GAQ;34;2021-2
B;BKO;KYS;0;2021-2
B;GAQ;BKO;32;2021-2
B;KYS;BKO;0;2021-2
C;BKO;GAQ;2;2021-2
D;BKO;GAQ;3;2021-2
D;GAQ;BKO;1;2021-2
M;BKO;GAQ;12;2021-2
M;BKO;KYS;0;2021-2
M;GAQ;BKO;17;2021-2
M;KYS;BKO;0;2021-2
N;GAQ;BKO;1;2021-2
Y;BKO;GAQ;31;2021-2
Y;BKO;KYS;0;2021-2
Y;GAQ;BKO;36;2021-2
Y;KYS;BKO;0;2021-2
B;BKO;KYS;0;2021-2
B;TOM;BKO;2;2021-2
C;BKO;TOM;0;2021-2
C;TOM;BKO;0;2021-2
M;BKO;KYS;0;2021-2
M;BKO;TOM;0;2021-2
M;KYS;BKO;0;2021-2
M;TOM;BKO;0;2021-2
Y;BKO;KYS;0;2021-2
Y;BKO;TOM;0;2021-2
Y;KYS;BKO;0;2021-2
Y;TOM;BKO;0;2021-2
B;BKO;GAQ;11;2021-2
B;GAQ;BKO;13;2021-2
C;GAQ;BKO;0;2021-2
D;GAQ;BKO;1;2021-2
M;BKO;GAQ;7;2021-2
M;GAQ;BKO;12;2021-2
N;BKO;GAQ;3;2021-2
Y;BKO;GAQ;27;2021-2
Y;GAQ;BKO;13;2021-2
B;BKO;KYS;0;2021-2
M;BKO;GAQ;0;2021-2
M;BKO;KYS;0;2021-2
Y;BKO;KYS;0;2021-2
Y;KYS;BKO;0;2021-2
B;BKO;KYS;13;2021-2
B;BKO;TOM;9;2021-2
B;KYS;BKO;4;2021-2
B;TOM;BKO;18;2021-2
C;BKO;TOM;0;2021-2
D;KYS;BKO;1;2021-2
D;TOM;BKO;0;2021-2
M;BKO;KYS;9;2021-2
M;BKO;TOM;10;2021-2
M;KYS;BKO;14;2021-2
M;TOM;BKO;6;2021-2
N;BKO;KYS;1;2021-2
N;KYS;BKO;1;2021-2
Y;BKO;KYS;40;2021-2
Y;BKO;TOM;24;2021-2
Y;KYS;BKO;57;2021-2
Y;TOM;BKO;8;2021-2
B;BKO;GAQ;4;2021-2
B;BKO;TOM;1;2021-2
B;GAQ;BKO;6;2021-2
C;BKO;GAQ;2;2021-2
C;GAQ;BKO;1;2021-2
D;BKO;GAQ;2;2021-2
D;GAQ;BKO;0;2021-2
M;BKO;GAQ;14;2021-2
M;BKO;TOM;0;2021-2
M;GAQ;BKO;12;2021-2
M;TOM;BKO;1;2021-2
N;GAQ;BKO;5;2021-2
Y;BKO;GAQ;20;2021-2
Y;GAQ;BKO;23;2021-2
Y;TOM;BKO;1;2021-2
B;BKO;KYS;1;2021-2
B;KYS;BKO;7;2021-2
M;BKO;KYS;5;2021-2
M;KYS;BKO;4;2021-2
Y;BKO;KYS;24;2021-2
Y;KYS;BKO;26;2021-2
B;BKO;GAQ;17;2021-2
B;GAQ;BKO;21;2021-2
C;BKO;GAQ;1;2021-2
C;GAQ;BKO;1;2021-2
D;BKO;GAQ;3;2021-2
D;GAQ;BKO;4;2021-2
M;BKO;GAQ;7;2021-2
M;GAQ;BKO;7;2021-2
N;BKO;GAQ;5;2021-2
Y;BKO;GAQ;28;2021-2
Y;GAQ;BKO;31;2021-2
B;BKO;KYS;1;2021-2
B;BKO;TOM;4;2021-2
B;KYS;BKO;2;2021-2
B;TOM;BKO;6;2021-2
